date,jour_semaine,is_weekend,heure,pluie,station,quartier,trajets
2026-06-01,Monday,False,2,False,Auteuil 2,Ouest,9
2026-06-01,Monday,False,2,False,Belleville 2,Est,12
2026-06-01,Monday,False,2,False,Place d'Italie 2,Sud,6
2026-06-01,Monday,False,2,False,Père Lachaise 2,Est,10
2026-06-01,Monday,False,2,False,Nation 2,Est,8
2026-06-01,Monday,False,2,False,Barbès 2,Nord,9
2026-06-01,Monday,False,2,False,République 2,Centre,8
2026-06-01,Monday,False,2,False,Châtelet 2,Centre,7
2026-06-01,Monday,False,2,False,Trocadéro 2,Ouest,8
2026-06-01,Monday,False,2,False,Opéra 2,Nord,11
2026-06-01,Monday,False,2,False,Gare de Lyon 2,Est,13
2026-06-01,Monday,False,2,False,Montmartre 2,Nord,11
2026-06-01,Monday,False,2,False,Denfert-Rochereau 2,Sud,7
2026-06-01,Monday,False,2,False,Boulogne 2,Ouest,12
2026-06-01,Monday,False,3,False,Invalides,Ouest,10
2026-06-01,Monday,False,3,False,La Villette,Nord,12
2026-06-01,Monday,False,3,False,Ménilmontant,Est,6
2026-06-01,Monday,False,3,False,Auteuil,Ouest,11
2026-06-01,Monday,False,3,False,Belleville,Est,10
2026-06-01,Monday,False,3,False,Place d'Italie,Sud,9
2026-06-01,Monday,False,3,False,Père Lachaise,Est,11
2026-06-01,Monday,False,3,False,Nation,Est,15
2026-06-01,Monday,False,3,False,Barbès,Nord,11
2026-06-01,Monday,False,3,False,République,Centre,13
2026-06-01,Monday,False,3,False,Châtelet,Centre,13
2026-06-01,Monday,False,3,False,Trocadéro,Ouest,11
2026-06-01,Monday,False,3,False,Opéra,Nord,9
2026-06-01,Monday,False,3,False,Gare de Lyon,Est,8
2026-06-01,Monday,False,3,False,Montmartre,Nord,13
2026-06-01,Monday,False,3,False,Denfert-Rochereau,Sud,12
2026-06-01,Monday,False,3,False,Boulogne,Ouest,13
2026-06-01,Monday,False,3,False,Louvre,Centre,14
2026-06-01,Monday,False,3,False,Bastille,Centre,13
2026-06-01,Monday,False,3,False,La Défense,Ouest,12
2026-06-01,Monday,False,3,False,Hôtel de Ville,Centre,11
2026-06-01,Monday,False,3,False,Montparnasse,Sud,7
2026-06-01,Monday,False,3,False,Gare du Nord,Nord,7
2026-06-01,Monday,False,3,False,Invalides 2,Ouest,11
2026-06-01,Monday,False,3,False,La Villette 2,Nord,10
2026-06-01,Monday,False,3,False,Ménilmontant 2,Est,13
2026-06-01,Monday,False,3,False,Auteuil 2,Ouest,8
2026-06-01,Monday,False,3,False,Belleville 2,Est,15
2026-06-01,Monday,False,3,False,Place d'Italie 2,Sud,8
2026-06-01,Monday,False,3,False,Père Lachaise 2,Est,13
2026-06-01,Monday,False,3,False,Nation 2,Est,14
2026-06-01,Monday,False,3,False,Barbès 2,Nord,9
2026-06-01,Monday,False,3,False,République 2,Centre,13
2026-06-01,Monday,False,3,False,Châtelet 2,Centre,9
2026-06-01,Monday,False,3,False,Trocadéro 2,Ouest,8
2026-06-01,Monday,False,3,False,Opéra 2,Nord,12
2026-06-01,Monday,False,3,False,Gare de Lyon 2,Est,11
2026-06-01,Monday,False,3,False,Montmartre 2,Nord,10
2026-06-01,Monday,False,3,False,Denfert-Rochereau 2,Sud,14
2026-06-01,Monday,False,3,False,Boulogne 2,Ouest,11
2026-06-01,Monday,False,4,False,Invalides,Ouest,15
2026-06-01,Monday,False,4,False,La Villette,Nord,10
2026-06-01,Monday,False,4,False,Ménilmontant,Est,10
2026-06-01,Monday,False,4,False,Auteuil,Ouest,11
2026-06-01,Monday,False,4,False,Belleville,Est,8
2026-06-01,Monday,False,4,False,Place d'Italie,Sud,12
2026-06-01,Monday,False,4,False,Père Lachaise,Est,10
2026-06-01,Monday,False,4,False,Nation,Est,10
2026-06-01,Monday,False,4,False,Barbès,Nord,11
2026-06-01,Monday,False,4,False,République,Centre,16
2026-06-01,Monday,False,4,False,Châtelet,Centre,10
2026-06-01,Monday,False,4,False,Trocadéro,Ouest,8
2026-06-01,Monday,False,4,False,Opéra,Nord,8
2026-06-01,Monday,False,4,False,Gare de Lyon,Est,6
2026-06-01,Monday,False,4,False,Montmartre,Nord,8
2026-06-01,Monday,False,4,False,Denfert-Rochereau,Sud,8
2026-06-01,Monday,False,4,False,Boulogne,Ouest,12
2026-06-01,Monday,False,4,False,Louvre,Centre,7
2026-06-01,Monday,False,4,False,Bastille,Centre,10
2026-06-01,Monday,False,4,False,La Défense,Ouest,6
2026-06-01,Monday,False,4,False,Hôtel de Ville,Centre,8
2026-06-01,Monday,False,4,False,Montparnasse,Sud,16
2026-06-01,Monday,False,4,False,Gare du Nord,Nord,15
2026-06-01,Monday,False,4,False,Invalides 2,Ouest,6
2026-06-01,Monday,False,4,False,La Villette 2,Nord,8
2026-06-01,Monday,False,4,False,Ménilmontant 2,Est,14
2026-06-01,Monday,False,4,False,Auteuil 2,Ouest,13
2026-06-01,Monday,False,4,False,Belleville 2,Est,12
2026-06-01,Monday,False,4,False,Place d'Italie 2,Sud,10
2026-06-01,Monday,False,4,False,Père Lachaise 2,Est,13
2026-06-01,Monday,False,4,False,Nation 2,Est,6
2026-06-01,Monday,False,4,False,Barbès 2,Nord,7
2026-06-01,Monday,False,4,False,République 2,Centre,15
2026-06-01,Monday,False,4,False,Châtelet 2,Centre,7
2026-06-01,Monday,False,4,False,Trocadéro 2,Ouest,14
2026-06-01,Monday,False,4,False,Opéra 2,Nord,14
2026-06-01,Monday,False,4,False,Gare de Lyon 2,Est,12
2026-06-01,Monday,False,4,False,Montmartre 2,Nord,15
2026-06-01,Monday,False,4,False,Denfert-Rochereau 2,Sud,14
2026-06-01,Monday,False,4,False,Boulogne 2,Ouest,14
2026-06-01,Monday,False,5,False,Invalides,Ouest,11
2026-06-01,Monday,False,5,False,La Villette,Nord,18
2026-06-01,Monday,False,5,False,Ménilmontant,Est,11
2026-06-01,Monday,False,5,False,Auteuil,Ouest,15
2026-06-01,Monday,False,5,False,Belleville,Est,16
2026-06-01,Monday,False,5,False,Place d'Italie,Sud,18
2026-06-01,Monday,False,5,False,Père Lachaise,Est,12
2026-06-01,Monday,False,5,False,Nation,Est,15
2026-06-01,Monday,False,5,False,Barbès,Nord,10
2026-06-01,Monday,False,5,False,République,Centre,18
2026-06-01,Monday,False,5,False,Châtelet,Centre,18
2026-06-01,Monday,False,5,False,Trocadéro,Ouest,18
2026-06-01,Monday,False,5,False,Opéra,Nord,19
2026-06-01,Monday,False,5,False,Gare de Lyon,Est,22
2026-06-01,Monday,False,5,False,Montmartre,Nord,15
2026-06-01,Monday,False,5,False,Denfert-Rochereau,Sud,15
2026-06-01,Monday,False,5,False,Boulogne,Ouest,19
2026-06-01,Monday,False,5,False,Louvre,Centre,21
2026-06-01,Monday,False,5,False,Bastille,Centre,15
2026-06-01,Monday,False,5,False,La Défense,Ouest,12
2026-06-01,Monday,False,5,False,Hôtel de Ville,Centre,17
2026-06-01,Monday,False,5,False,Montparnasse,Sud,12
2026-06-01,Monday,False,5,False,Gare du Nord,Nord,10
2026-06-01,Monday,False,5,False,Invalides 2,Ouest,13
2026-06-01,Monday,False,5,False,La Villette 2,Nord,11
2026-06-01,Monday,False,5,False,Ménilmontant 2,Est,7
2026-06-01,Monday,False,5,False,Auteuil 2,Ouest,24
2026-06-01,Monday,False,5,False,Belleville 2,Est,11
2026-06-01,Monday,False,5,False,Place d'Italie 2,Sud,7
2026-06-01,Monday,False,5,False,Père Lachaise 2,Est,28
2026-06-01,Monday,False,5,False,Nation 2,Est,18
2026-06-01,Monday,False,5,False,Barbès 2,Nord,15
2026-06-01,Monday,False,5,False,République 2,Centre,15
2026-06-01,Monday,False,5,False,Châtelet 2,Centre,11
2026-06-01,Monday,False,5,False,Trocadéro 2,Ouest,18
2026-06-01,Monday,False,5,False,Opéra 2,Nord,13
2026-06-01,Monday,False,5,False,Gare de Lyon 2,Est,20
2026-06-01,Monday,False,5,False,Montmartre 2,Nord,24
2026-06-01,Monday,False,5,False,Denfert-Rochereau 2,Sud,13
2026-06-01,Monday,False,5,False,Boulogne 2,Ouest,17
2026-06-01,Monday,False,6,False,Invalides,Ouest,35
2026-06-01,Monday,False,6,False,La Villette,Nord,27
2026-06-01,Monday,False,6,False,Ménilmontant,Est,20
2026-06-01,Monday,False,6,False,Auteuil,Ouest,15
2026-06-01,Monday,False,6,False,Belleville,Est,22
2026-06-01,Monday,False,6,False,Place d'Italie,Sud,22
2026-06-01,Monday,False,6,False,Père Lachaise,Est,15
2026-06-01,Monday,False,6,False,Nation,Est,37
2026-06-01,Monday,False,6,False,Barbès,Nord,31
2026-06-01,Monday,False,6,False,République,Centre,35
2026-06-01,Monday,False,6,False,Châtelet,Centre,28
2026-06-01,Monday,False,6,False,Trocadéro,Ouest,26
2026-06-01,Monday,False,6,False,Opéra,Nord,29
2026-06-01,Monday,False,6,False,Gare de Lyon,Est,36
2026-06-01,Monday,False,6,False,Montmartre,Nord,34
2026-06-01,Monday,False,6,False,Denfert-Rochereau,Sud,31
2026-06-01,Monday,False,6,False,Boulogne,Ouest,27
2026-06-01,Monday,False,6,False,Louvre,Centre,19
2026-06-01,Monday,False,6,False,Bastille,Centre,38
2026-06-01,Monday,False,6,False,La Défense,Ouest,23
2026-06-01,Monday,False,6,False,Hôtel de Ville,Centre,21
2026-06-01,Monday,False,6,False,Montparnasse,Sud,41
2026-06-01,Monday,False,6,False,Gare du Nord,Nord,20
2026-06-01,Monday,False,6,False,Invalides 2,Ouest,18
2026-06-01,Monday,False,6,False,La Villette 2,Nord,34
2026-06-01,Monday,False,6,False,Ménilmontant 2,Est,46
2026-06-01,Monday,False,6,False,Auteuil 2,Ouest,27
2026-06-01,Monday,False,6,False,Belleville 2,Est,27
2026-06-01,Monday,False,6,False,Place d'Italie 2,Sud,38
2026-06-01,Monday,False,6,False,Père Lachaise 2,Est,40
2026-06-01,Monday,False,6,False,Nation 2,Est,29
2026-06-01,Monday,False,6,False,Barbès 2,Nord,31
2026-06-01,Monday,False,6,False,République 2,Centre,33
2026-06-01,Monday,False,6,False,Châtelet 2,Centre,29
2026-06-01,Monday,False,6,False,Trocadéro 2,Ouest,32
2026-06-01,Monday,False,6,False,Opéra 2,Nord,17
2026-06-01,Monday,False,6,False,Gare de Lyon 2,Est,33
2026-06-01,Monday,False,6,False,Montmartre 2,Nord,41
2026-06-01,Monday,False,6,False,Denfert-Rochereau 2,Sud,42
2026-06-01,Monday,False,6,False,Boulogne 2,Ouest,41
2026-06-01,Monday,False,7,False,Invalides,Ouest,44
2026-06-01,Monday,False,7,False,La Villette,Nord,67
2026-06-01,Monday,False,7,False,Ménilmontant,Est,23
2026-06-01,Monday,False,7,False,Auteuil,Ouest,26
2026-06-01,Monday,False,7,False,Belleville,Est,44
2026-06-01,Monday,False,7,False,Place d'Italie,Sud,51
2026-06-01,Monday,False,7,False,Père Lachaise,Est,60
2026-06-01,Monday,False,7,False,Nation,Est,27
2026-06-01,Monday,False,7,False,Barbès,Nord,48
2026-06-01,Monday,False,7,False,République,Centre,29
2026-06-01,Monday,False,7,False,Châtelet,Centre,56
2026-06-01,Monday,False,7,False,Trocadéro,Ouest,40
2026-06-01,Monday,False,7,False,Opéra,Nord,46
2026-06-01,Monday,False,7,False,Gare de Lyon,Est,70
2026-06-01,Monday,False,7,False,Montmartre,Nord,56
2026-06-01,Monday,False,7,False,Denfert-Rochereau,Sud,48
2026-06-01,Monday,False,7,False,Boulogne,Ouest,37
2026-06-01,Monday,False,7,False,Louvre,Centre,37
2026-06-01,Monday,False,7,False,Bastille,Centre,33
2026-06-01,Monday,False,7,False,La Défense,Ouest,71
2026-06-01,Monday,False,7,False,Hôtel de Ville,Centre,37
2026-06-01,Monday,False,7,False,Montparnasse,Sud,35
2026-06-01,Monday,False,7,False,Gare du Nord,Nord,55
2026-06-01,Monday,False,7,False,Invalides 2,Ouest,51
2026-06-01,Monday,False,7,False,La Villette 2,Nord,75
2026-06-01,Monday,False,7,False,Ménilmontant 2,Est,39
2026-06-01,Monday,False,7,False,Auteuil 2,Ouest,32
2026-06-01,Monday,False,7,False,Belleville 2,Est,25
2026-06-01,Monday,False,7,False,Place d'Italie 2,Sud,58
2026-06-01,Monday,False,7,False,Père Lachaise 2,Est,34
2026-06-01,Monday,False,7,False,Nation 2,Est,49
2026-06-01,Monday,False,7,False,Barbès 2,Nord,38
2026-06-01,Monday,False,7,False,République 2,Centre,29
2026-06-01,Monday,False,7,False,Châtelet 2,Centre,57
2026-06-01,Monday,False,7,False,Trocadéro 2,Ouest,60
2026-06-01,Monday,False,7,False,Opéra 2,Nord,47
2026-06-01,Monday,False,7,False,Gare de Lyon 2,Est,40
2026-06-01,Monday,False,7,False,Montmartre 2,Nord,43
2026-06-01,Monday,False,7,False,Denfert-Rochereau 2,Sud,51
2026-06-01,Monday,False,7,False,Boulogne 2,Ouest,62
2026-06-01,Monday,False,8,False,Invalides,Ouest,62
2026-06-01,Monday,False,8,False,La Villette,Nord,59
2026-06-01,Monday,False,8,False,Ménilmontant,Est,45
2026-06-01,Monday,False,8,False,Auteuil,Ouest,35
2026-06-01,Monday,False,8,False,Belleville,Est,78
2026-06-01,Monday,False,8,False,Place d'Italie,Sud,58
2026-06-01,Monday,False,8,False,Père Lachaise,Est,68
2026-06-01,Monday,False,8,False,Nation,Est,25
2026-06-01,Monday,False,8,False,Barbès,Nord,32
2026-06-01,Monday,False,8,False,République,Centre,63
2026-06-01,Monday,False,8,False,Châtelet,Centre,31
2026-06-01,Monday,False,8,False,Trocadéro,Ouest,56
2026-06-01,Monday,False,8,False,Opéra,Nord,57
2026-06-01,Monday,False,8,False,Gare de Lyon,Est,45
2026-06-01,Monday,False,8,False,Montmartre,Nord,51
2026-06-01,Monday,False,8,False,Denfert-Rochereau,Sud,33
2026-06-01,Monday,False,8,False,Boulogne,Ouest,32
2026-06-01,Monday,False,8,False,Louvre,Centre,44
2026-06-01,Monday,False,8,False,Bastille,Centre,50
2026-06-01,Monday,False,8,False,La Défense,Ouest,69
2026-06-01,Monday,False,8,False,Hôtel de Ville,Centre,34
2026-06-01,Monday,False,8,False,Montparnasse,Sud,48
2026-06-01,Monday,False,8,False,Gare du Nord,Nord,45
2026-06-01,Monday,False,8,False,Invalides 2,Ouest,64
2026-06-01,Monday,False,8,False,La Villette 2,Nord,56
2026-06-01,Monday,False,8,False,Ménilmontant 2,Est,42
2026-06-01,Monday,False,8,False,Auteuil 2,Ouest,40
2026-06-01,Monday,False,8,False,Belleville 2,Est,37
2026-06-01,Monday,False,8,False,Place d'Italie 2,Sud,28
2026-06-01,Monday,False,8,False,Père Lachaise 2,Est,68
2026-06-01,Monday,False,8,False,Nation 2,Est,51
2026-06-01,Monday,False,8,False,Barbès 2,Nord,71
2026-06-01,Monday,False,8,False,République 2,Centre,86
2026-06-01,Monday,False,8,False,Châtelet 2,Centre,38
2026-06-01,Monday,False,8,False,Trocadéro 2,Ouest,71
2026-06-01,Monday,False,8,False,Opéra 2,Nord,64
2026-06-01,Monday,False,8,False,Gare de Lyon 2,Est,72
2026-06-01,Monday,False,8,False,Montmartre 2,Nord,44
2026-06-01,Monday,False,8,False,Denfert-Rochereau 2,Sud,51
2026-06-01,Monday,False,8,False,Boulogne 2,Ouest,68
2026-06-01,Monday,False,9,False,Invalides,Ouest,47
2026-06-01,Monday,False,9,False,La Villette,Nord,32
2026-06-01,Monday,False,9,False,Ménilmontant,Est,41
2026-06-01,Monday,False,9,False,Auteuil,Ouest,29
2026-06-01,Monday,False,9,False,Belleville,Est,65
2026-06-01,Monday,False,9,False,Place d'Italie,Sud,41
2026-06-01,Monday,False,9,False,Père Lachaise,Est,50
2026-06-01,Monday,False,9,False,Nation,Est,29
2026-06-01,Monday,False,9,False,Barbès,Nord,34
2026-06-01,Monday,False,9,False,République,Centre,64
2026-06-01,Monday,False,9,False,Châtelet,Centre,34
2026-06-01,Monday,False,9,False,Trocadéro,Ouest,49
2026-06-01,Monday,False,9,False,Opéra,Nord,61
2026-06-01,Monday,False,9,False,Gare de Lyon,Est,41
2026-06-01,Monday,False,9,False,Montmartre,Nord,34
2026-06-01,Monday,False,9,False,Denfert-Rochereau,Sud,53
2026-06-01,Monday,False,9,False,Boulogne,Ouest,41
2026-06-01,Monday,False,9,False,Louvre,Centre,32
2026-06-01,Monday,False,9,False,Bastille,Centre,41
2026-06-01,Monday,False,9,False,La Défense,Ouest,33
2026-06-01,Monday,False,9,False,Hôtel de Ville,Centre,50
2026-06-01,Monday,False,9,False,Montparnasse,Sud,61
2026-06-01,Monday,False,9,False,Gare du Nord,Nord,48
2026-06-01,Monday,False,9,False,Invalides 2,Ouest,61
2026-06-01,Monday,False,9,False,La Villette 2,Nord,45
2026-06-01,Monday,False,9,False,Ménilmontant 2,Est,59
2026-06-01,Monday,False,9,False,Auteuil 2,Ouest,39
2026-06-01,Monday,False,9,False,Belleville 2,Est,57
2026-06-01,Monday,False,9,False,Place d'Italie 2,Sud,54
2026-06-01,Monday,False,9,False,Père Lachaise 2,Est,59
2026-06-01,Monday,False,9,False,Nation 2,Est,30
2026-06-01,Monday,False,9,False,Barbès 2,Nord,35
2026-06-01,Monday,False,9,False,République 2,Centre,60
2026-06-01,Monday,False,9,False,Châtelet 2,Centre,53
2026-06-01,Monday,False,9,False,Trocadéro 2,Ouest,57
2026-06-01,Monday,False,9,False,Opéra 2,Nord,42
2026-06-01,Monday,False,9,False,Gare de Lyon 2,Est,55
2026-06-01,Monday,False,9,False,Montmartre 2,Nord,55
2026-06-01,Monday,False,9,False,Denfert-Rochereau 2,Sud,43
2026-06-01,Monday,False,9,False,Boulogne 2,Ouest,35
2026-06-01,Monday,False,10,False,Invalides,Ouest,31
2026-06-01,Monday,False,10,False,La Villette,Nord,38
2026-06-01,Monday,False,10,False,Ménilmontant,Est,34
2026-06-01,Monday,False,10,False,Auteuil,Ouest,28
2026-06-01,Monday,False,10,False,Belleville,Est,30
2026-06-01,Monday,False,10,False,Place d'Italie,Sud,31
2026-06-01,Monday,False,10,False,Père Lachaise,Est,27
2026-06-01,Monday,False,10,False,Nation,Est,21
2026-06-01,Monday,False,10,False,Barbès,Nord,25
2026-06-01,Monday,False,10,False,République,Centre,34
2026-06-01,Monday,False,10,False,Châtelet,Centre,19
2026-06-01,Monday,False,10,False,Trocadéro,Ouest,34
2026-06-01,Monday,False,10,False,Opéra,Nord,18
2026-06-01,Monday,False,10,False,Gare de Lyon,Est,27
2026-06-01,Monday,False,10,False,Montmartre,Nord,24
2026-06-01,Monday,False,10,False,Denfert-Rochereau,Sud,31
2026-06-01,Monday,False,10,False,Boulogne,Ouest,25
2026-06-01,Monday,False,10,False,Louvre,Centre,20
2026-06-01,Monday,False,10,False,Bastille,Centre,24
2026-06-01,Monday,False,10,False,La Défense,Ouest,38
2026-06-01,Monday,False,10,False,Hôtel de Ville,Centre,34
2026-06-01,Monday,False,10,False,Montparnasse,Sud,34
2026-06-01,Monday,False,10,False,Gare du Nord,Nord,23
2026-06-01,Monday,False,10,False,Invalides 2,Ouest,21
2026-06-01,Monday,False,10,False,La Villette 2,Nord,33
2026-06-01,Monday,False,10,False,Ménilmontant 2,Est,28
2026-06-01,Monday,False,10,False,Auteuil 2,Ouest,22
2026-06-01,Monday,False,10,False,Belleville 2,Est,34
2026-06-01,Monday,False,10,False,Place d'Italie 2,Sud,36
2026-06-01,Monday,False,10,False,Père Lachaise 2,Est,27
2026-06-01,Monday,False,10,False,Nation 2,Est,34
2026-06-01,Monday,False,10,False,Barbès 2,Nord,20
2026-06-01,Monday,False,10,False,République 2,Centre,19
2026-06-01,Monday,False,10,False,Châtelet 2,Centre,20
2026-06-01,Monday,False,10,False,Trocadéro 2,Ouest,33
2026-06-01,Monday,False,10,False,Opéra 2,Nord,28
2026-06-01,Monday,False,10,False,Gare de Lyon 2,Est,25
2026-06-01,Monday,False,10,False,Montmartre 2,Nord,43
2026-06-01,Monday,False,10,False,Denfert-Rochereau 2,Sud,34
2026-06-01,Monday,False,10,False,Boulogne 2,Ouest,22
2026-06-01,Monday,False,11,False,Invalides,Ouest,22
2026-06-01,Monday,False,11,False,La Villette,Nord,19
2026-06-01,Monday,False,11,False,Ménilmontant,Est,16
2026-06-01,Monday,False,11,False,Auteuil,Ouest,16
2026-06-01,Monday,False,11,False,Belleville,Est,11
2026-06-01,Monday,False,11,False,Place d'Italie,Sud,25
2026-06-01,Monday,False,11,False,Père Lachaise,Est,23
2026-06-01,Monday,False,11,False,Nation,Est,15
2026-06-01,Monday,False,11,False,Barbès,Nord,14
2026-06-01,Monday,False,11,False,République,Centre,12
2026-06-01,Monday,False,11,False,Châtelet,Centre,15
2026-06-01,Monday,False,11,False,Trocadéro,Ouest,16
2026-06-01,Monday,False,11,False,Opéra,Nord,17
2026-06-01,Monday,False,11,False,Gare de Lyon,Est,24
2026-06-01,Monday,False,11,False,Montmartre,Nord,15
2026-06-01,Monday,False,11,False,Denfert-Rochereau,Sud,12
2026-06-01,Monday,False,11,False,Boulogne,Ouest,13
2026-06-01,Monday,False,11,False,Louvre,Centre,13
2026-06-01,Monday,False,11,False,Bastille,Centre,18
2026-06-01,Monday,False,11,False,La Défense,Ouest,24
2026-06-01,Monday,False,11,False,Hôtel de Ville,Centre,19
2026-06-01,Monday,False,11,False,Montparnasse,Sud,18
2026-06-01,Monday,False,11,False,Gare du Nord,Nord,22
